event,count,pct_rows,category,description,intuition,leakage_risk,modeling_recommendation,importance_score,importance_rank
app_unpublish,19,0.0005,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,64,166
hosted_apps_undeploy,18,0.0005,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,64,167
app_delete_page,11,0.0003,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,64,168
hosted_apps_delete,2,0.0001,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,64,169
app_delete,1,0.0,Deployment / app publishing,"Deployment, hosted app, API, scheduled job, or publishing event suggesting movement from exploration to production use.",Suggests production intent and higher willingness to pay. Very important if observed before upgrade.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,64,170
report_ask_ai_submitted,7,0.0002,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,62,171
agent_refactor_block,6,0.0002,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,62,172
agent_web_search,5,0.0001,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,62,173
agent_edge_created,4,0.0001,AI / agent behavior,"AI assistant, agent, message, tool-call, suggestion, or AI workflow interaction.",Shows product value and depth of engagement. Good pre-upgrade signal when aggregated over early usage.,Low-medium leakage if restricted to pre-upgrade observation window; strong behavioral signal.,Strong feature candidate when counted before upgrade.,62,174
referral_modal_open,2594,0.0739,Sharing / referral,"Sharing, referral, invite, or community-distribution event.",May indicate collaboration or advocacy. Useful for segmentation and later-stage funnel movement.,Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,56,175
resource_shared,373,0.0106,Sharing / referral,"Sharing, referral, invite, or community-distribution event.",May indicate collaboration or advocacy. Useful for segmentation and later-stage funnel movement.,Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,55,176
referral_link_copied,358,0.0102,Sharing / referral,"Sharing, referral, invite, or community-distribution event.",May indicate collaboration or advocacy. Useful for segmentation and later-stage funnel movement.,Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,55,177
referral_signup,281,0.008,Sharing / referral,"Sharing, referral, invite, or community-distribution event.",May indicate collaboration or advocacy. Useful for segmentation and later-stage funnel movement.,Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,55,178
invited_user_created,98,0.0028,Sharing / referral,"Sharing, referral, invite, or community-distribution event.",May indicate collaboration or advocacy. Useful for segmentation and later-stage funnel movement.,Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,55,179
report_share_opened,47,0.0013,Sharing / referral,"Sharing, referral, invite, or community-distribution event.",May indicate collaboration or advocacy. Useful for segmentation and later-stage funnel movement.,Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,55,180
sign_in,32318,0.9208,Lifecycle / onboarding,"Signup, signin, onboarding, quickstart, identity, or account lifecycle event.","Useful for funnel entry, activation timing, and cohort segmentation, but usually weak alone.",Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,51,181
skip_onboarding_form,20153,0.5742,Lifecycle / onboarding,"Signup, signin, onboarding, quickstart, identity, or account lifecycle event.","Useful for funnel entry, activation timing, and cohort segmentation, but usually weak alone.",Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,51,182
new_user_created,15995,0.4557,Lifecycle / onboarding,"Signup, signin, onboarding, quickstart, identity, or account lifecycle event.","Useful for funnel entry, activation timing, and cohort segmentation, but usually weak alone.",Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,51,183
sign_up,15187,0.4327,Lifecycle / onboarding,"Signup, signin, onboarding, quickstart, identity, or account lifecycle event.","Useful for funnel entry, activation timing, and cohort segmentation, but usually weak alone.",Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,51,184
submit_onboarding_form,13101,0.3733,Lifecycle / onboarding,"Signup, signin, onboarding, quickstart, identity, or account lifecycle event.","Useful for funnel entry, activation timing, and cohort segmentation, but usually weak alone.",Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,51,185
notebook_onboarding_tour_step,10158,0.2894,Lifecycle / onboarding,"Signup, signin, onboarding, quickstart, identity, or account lifecycle event.","Useful for funnel entry, activation timing, and cohort segmentation, but usually weak alone.",Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,51,186
notebook_onboarding_tour_started,4047,0.1153,Lifecycle / onboarding,"Signup, signin, onboarding, quickstart, identity, or account lifecycle event.","Useful for funnel entry, activation timing, and cohort segmentation, but usually weak alone.",Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,49,187
notebook_onboarding_tour_finished,3714,0.1058,Lifecycle / onboarding,"Signup, signin, onboarding, quickstart, identity, or account lifecycle event.","Useful for funnel entry, activation timing, and cohort segmentation, but usually weak alone.",Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,49,188
quickstart_add_dataset,1112,0.0317,Lifecycle / onboarding,"Signup, signin, onboarding, quickstart, identity, or account lifecycle event.","Useful for funnel entry, activation timing, and cohort segmentation, but usually weak alone.",Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,49,189
seats_exceeded_share_warning,12,0.0003,Sharing / referral,"Sharing, referral, invite, or community-distribution event.",May indicate collaboration or advocacy. Useful for segmentation and later-stage funnel movement.,Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,49,190
report_social_share_clicked,4,0.0001,Sharing / referral,"Sharing, referral, invite, or community-distribution event.",May indicate collaboration or advocacy. Useful for segmentation and later-stage funnel movement.,Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,49,191
quickstart_explore_playground,381,0.0109,Lifecycle / onboarding,"Signup, signin, onboarding, quickstart, identity, or account lifecycle event.","Useful for funnel entry, activation timing, and cohort segmentation, but usually weak alone.",Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,48,192
$exception,347985,9.9152,Error / feedback,"Exception, error-assist, feedback, issue, or support/contact event.",Can indicate friction. Useful for churn/at-risk analysis and may explain failed conversion.,Low leakage if timestamp-filtered before upgrade.,Use as friction/quality signals; inspect relation to conversion.,46,193
contact_form_submitted,65,0.0019,Error / feedback,"Exception, error-assist, feedback, issue, or support/contact event.",Can indicate friction. Useful for churn/at-risk analysis and may explain failed conversion.,Low leakage if timestamp-filtered before upgrade.,Use as friction/quality signals; inspect relation to conversion.,42,194
leave_feedback_clicked,37,0.0011,Error / feedback,"Exception, error-assist, feedback, issue, or support/contact event.",Can indicate friction. Useful for churn/at-risk analysis and may explain failed conversion.,Low leakage if timestamp-filtered before upgrade.,Use as friction/quality signals; inspect relation to conversion.,42,195
report_onboarding_tip_dismissed,16,0.0005,Lifecycle / onboarding,"Signup, signin, onboarding, quickstart, identity, or account lifecycle event.","Useful for funnel entry, activation timing, and cohort segmentation, but usually weak alone.",Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,42,196
new_user_organization_invite,10,0.0003,Lifecycle / onboarding,"Signup, signin, onboarding, quickstart, identity, or account lifecycle event.","Useful for funnel entry, activation timing, and cohort segmentation, but usually weak alone.",Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,42,197
onboarding_completed,1,0.0,Lifecycle / onboarding,"Signup, signin, onboarding, quickstart, identity, or account lifecycle event.","Useful for funnel entry, activation timing, and cohort segmentation, but usually weak alone.",Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,42,198
$groupidentify,44200,1.2594,Lifecycle / onboarding,"Signup, signin, onboarding, quickstart, identity, or account lifecycle event.","Useful for funnel entry, activation timing, and cohort segmentation, but usually weak alone.",Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,41,199
$set,29188,0.8317,Lifecycle / onboarding,"Signup, signin, onboarding, quickstart, identity, or account lifecycle event.","Useful for funnel entry, activation timing, and cohort segmentation, but usually weak alone.",Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,41,200
$identify,25084,0.7147,Lifecycle / onboarding,"Signup, signin, onboarding, quickstart, identity, or account lifecycle event.","Useful for funnel entry, activation timing, and cohort segmentation, but usually weak alone.",Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,41,201
$create_alias,13339,0.3801,Lifecycle / onboarding,"Signup, signin, onboarding, quickstart, identity, or account lifecycle event.","Useful for funnel entry, activation timing, and cohort segmentation, but usually weak alone.",Low leakage if timestamp-filtered before upgrade.,Use for cohort/funnel features and timing features.,41,202
user_feedback_submitted,6,0.0002,Error / feedback,"Exception, error-assist, feedback, issue, or support/contact event.",Can indicate friction. Useful for churn/at-risk analysis and may explain failed conversion.,Low leakage if timestamp-filtered before upgrade.,Use as friction/quality signals; inspect relation to conversion.,36,203
user_issue_submitted,3,0.0001,Error / feedback,"Exception, error-assist, feedback, issue, or support/contact event.",Can indicate friction. Useful for churn/at-risk analysis and may explain failed conversion.,Low leakage if timestamp-filtered before upgrade.,Use as friction/quality signals; inspect relation to conversion.,36,204
$pageview,37772,1.0762,Navigation / UI telemetry,"Pageview, pageleave, web vital, click, fullscreen, toast, or other UI telemetry event.","Useful for session/activity measurement, but less meaningful than creation, AI, deployment, or credit behavior.",Low leakage if timestamp-filtered before upgrade.,"Use as aggregate activity/session features, not as isolated one-hot events unless important.",35,205
$pageleave,31380,0.8941,Navigation / UI telemetry,"Pageview, pageleave, web vital, click, fullscreen, toast, or other UI telemetry event.","Useful for session/activity measurement, but less meaningful than creation, AI, deployment, or credit behavior.",Low leakage if timestamp-filtered before upgrade.,"Use as aggregate activity/session features, not as isolated one-hot events unless important.",35,206
$autocapture,9852,0.2807,Navigation / UI telemetry,"Pageview, pageleave, web vital, click, fullscreen, toast, or other UI telemetry event.","Useful for session/activity measurement, but less meaningful than creation, AI, deployment, or credit behavior.",Low leakage if timestamp-filtered before upgrade.,"Use as aggregate activity/session features, not as isolated one-hot events unless important.",33,207
link_clicked,3655,0.1041,Navigation / UI telemetry,"Pageview, pageleave, web vital, click, fullscreen, toast, or other UI telemetry event.","Useful for session/activity measurement, but less meaningful than creation, AI, deployment, or credit behavior.",Low leakage if timestamp-filtered before upgrade.,"Use as aggregate activity/session features, not as isolated one-hot events unless important.",33,208
email_mobile_link_clicked,1730,0.0493,Navigation / UI telemetry,"Pageview, pageleave, web vital, click, fullscreen, toast, or other UI telemetry event.","Useful for session/activity measurement, but less meaningful than creation, AI, deployment, or credit behavior.",Low leakage if timestamp-filtered before upgrade.,"Use as aggregate activity/session features, not as isolated one-hot events unless important.",33,209
button_clicked,553,0.0158,Navigation / UI telemetry,"Pageview, pageleave, web vital, click, fullscreen, toast, or other UI telemetry event.","Useful for session/activity measurement, but less meaningful than creation, AI, deployment, or credit behavior.",Low leakage if timestamp-filtered before upgrade.,"Use as aggregate activity/session features, not as isolated one-hot events unless important.",32,210
$rageclick,84,0.0024,Navigation / UI telemetry,"Pageview, pageleave, web vital, click, fullscreen, toast, or other UI telemetry event.","Useful for session/activity measurement, but less meaningful than creation, AI, deployment, or credit behavior.",Low leakage if timestamp-filtered before upgrade.,"Use as aggregate activity/session features, not as isolated one-hot events unless important.",32,211
$web_vitals,125850,3.5859,Navigation / UI telemetry,"Pageview, pageleave, web vital, click, fullscreen, toast, or other UI telemetry event.","Useful for session/activity measurement, but less meaningful than creation, AI, deployment, or credit behavior.",Low leakage if timestamp-filtered before upgrade.,"Use as aggregate activity/session features, not as isolated one-hot events unless important.",26,212
fullscreen_close,11377,0.3242,Navigation / UI telemetry,"Pageview, pageleave, web vital, click, fullscreen, toast, or other UI telemetry event.","Useful for session/activity measurement, but less meaningful than creation, AI, deployment, or credit behavior.",Low leakage if timestamp-filtered before upgrade.,"Use as aggregate activity/session features, not as isolated one-hot events unless important.",25,213
fullscreen_open,11351,0.3234,Navigation / UI telemetry,"Pageview, pageleave, web vital, click, fullscreen, toast, or other UI telemetry event.","Useful for session/activity measurement, but less meaningful than creation, AI, deployment, or credit behavior.",Low leakage if timestamp-filtered before upgrade.,"Use as aggregate activity/session features, not as isolated one-hot events unless important.",25,214
notebook_split_screen,632,0.018,Other / rare behavior,Rare or miscellaneous event; inspect surrounding rows before using as a feature.,Potentially useful only after inspecting event context and frequency.,Unknown/low; validate event timing and meaning before modeling.,Use only after manual validation.,25,215
seats_exceeded_members_warning,32,0.0009,Other / rare behavior,Rare or miscellaneous event; inspect surrounding rows before using as a feature.,Potentially useful only after inspecting event context and frequency.,Unknown/low; validate event timing and meaning before modeling.,Use only after manual validation.,25,216
toast_notification_shown,2558,0.0729,Navigation / UI telemetry,"Pageview, pageleave, web vital, click, fullscreen, toast, or other UI telemetry event.","Useful for session/activity measurement, but less meaningful than creation, AI, deployment, or credit behavior.",Low leakage if timestamp-filtered before upgrade.,"Use as aggregate activity/session features, not as isolated one-hot events unless important.",23,217
fullscreen_preview_output,1538,0.0438,Navigation / UI telemetry,"Pageview, pageleave, web vital, click, fullscreen, toast, or other UI telemetry event.","Useful for session/activity measurement, but less meaningful than creation, AI, deployment, or credit behavior.",Low leakage if timestamp-filtered before upgrade.,"Use as aggregate activity/session features, not as isolated one-hot events unless important.",23,218
fullscreen_preview_input,453,0.0129,Navigation / UI telemetry,"Pageview, pageleave, web vital, click, fullscreen, toast, or other UI telemetry event.","Useful for session/activity measurement, but less meaningful than creation, AI, deployment, or credit behavior.",Low leakage if timestamp-filtered before upgrade.,"Use as aggregate activity/session features, not as isolated one-hot events unless important.",22,219
report_chat_new_chat,18,0.0005,Other / rare behavior,Rare or miscellaneous event; inspect surrounding rows before using as a feature.,Potentially useful only after inspecting event context and frequency.,Unknown/low; validate event timing and meaning before modeling.,Use only after manual validation.,19,220
report_chat_sidebar_opened,14,0.0004,Other / rare behavior,Rare or miscellaneous event; inspect surrounding rows before using as a feature.,Potentially useful only after inspecting event context and frequency.,Unknown/low; validate event timing and meaning before modeling.,Use only after manual validation.,19,221
remove_user_Free_seat,3,0.0001,Other / rare behavior,Rare or miscellaneous event; inspect surrounding rows before using as a feature.,Potentially useful only after inspecting event context and frequency.,Unknown/low; validate event timing and meaning before modeling.,Use only after manual validation.,19,222
non_default_org_created,1,0.0,Other / rare behavior,Rare or miscellaneous event; inspect surrounding rows before using as a feature.,Potentially useful only after inspecting event context and frequency.,Unknown/low; validate event timing and meaning before modeling.,Use only after manual validation.,19,223
add_user_Free_seat,1,0.0,Other / rare behavior,Rare or miscellaneous event; inspect surrounding rows before using as a feature.,Potentially useful only after inspecting event context and frequency.,Unknown/low; validate event timing and meaning before modeling.,Use only after manual validation.,19,224
project_delete,269,0.0077,Other / rare behavior,Rare or miscellaneous event; inspect surrounding rows before using as a feature.,Potentially useful only after inspecting event context and frequency.,Unknown/low; validate event timing and meaning before modeling.,Use only after manual validation.,17,225
$delete_person_property,4,0.0001,Other / rare behavior,Rare or miscellaneous event; inspect surrounding rows before using as a feature.,Potentially useful only after inspecting event context and frequency.,Unknown/low; validate event timing and meaning before modeling.,Use only after manual validation.,11,226
published_report_delete,3,0.0001,Other / rare behavior,Rare or miscellaneous event; inspect surrounding rows before using as a feature.,Potentially useful only after inspecting event context and frequency.,Unknown/low; validate event timing and meaning before modeling.,Use only after manual validation.,11,227
